,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,ppi
0,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,120117,0,1,227.0
1,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,80599,0,0,128.0
2,HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,51554,0,0,141.0
3,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,227508,0,1,221.0
4,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,161711,0,1,227.0
5,Acer,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.1,35864,0,0,100.0
6,Apple,Ultrabook,Intel Core i7,16,Intel Iris,Mac OS,2.04,191870,0,1,221.0
7,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,103889,0,0,128.0
8,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.3,134042,0,0,157.0
9,Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,69038,0,1,157.0
10,HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,35317,0,0,100.0
11,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,30932,0,0,141.0
12,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,218768,0,1,221.0
13,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,44731,0,0,141.0
14,Apple,Ultrabook,Other Intel Processor,8,Intel HD,Mac OS,0.92,113187,0,1,226.0
15,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,136153,0,1,227.0
16,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,66797,0,0,141.0
17,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,256248,0,1,221.0
18,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,44740,0,0,141.0
19,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.22,87777,1,1,166.0
20,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows 10,0.98,17206,0,0,135.0
21,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,89570,0,1,141.0
22,HP,Notebook,AMD E Series Processor,4,AMD Radeon,No OS,1.86,23132,0,0,100.0
23,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.62,73432,1,0,166.0
24,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.91,59086,0,0,141.0
